name;percent_change;values
Bitcoin;1h;-0.93132817
Bitcoin;24h;1.77432837
Bitcoin;7d;2.5263683
Bitcoin;30d;-11.03537089
Bitcoin;60d;-18.38015231
Bitcoin;90d;-9.73081116
Ethereum;1h;-1.34748542
Ethereum;24h;0.40223658
Ethereum;7d;4.7248371
Ethereum;30d;-26.55090474
Ethereum;60d;-37.85689754
Ethereum;90d;-38.14792285
XRP;1h;-1.25474191
XRP;24h;6.46346189
XRP;7d;9.80271679
XRP;30d;-4.29157518
XRP;60d;-20.30702275
XRP;90d;18.78843562
Tether USDt;1h;-0.02285849
Tether USDt;24h;-0.00897261
Tether USDt;7d;-0.00335092
Tether USDt;30d;0.00182668
Tether USDt;60d;0.15324846
Tether USDt;90d;0.12966473
BNB;1h;-0.53577996
BNB;24h;2.23124805
BNB;7d;8.9755705
BNB;30d;-3.15744158
BNB;60d;-8.23544767
BNB;90d;-0.42615645
Solana;1h;-2.29197842
Solana;24h;2.8847695
Solana;7d;3.24398303
Solana;30d;-22.41583841
Solana;60d;-53.35295308
Solana;90d;-28.04313725
USDC;1h;0.00666649
USDC;24h;0.02016302
USDC;7d;0.00136508
USDC;30d;0.00406704
USDC;60d;-0.00364196
USDC;90d;-0.00442931
Cardano;1h;-1.25246776
Cardano;24h;0.8075106
Cardano;7d;-0.20326358
Cardano;30d;-7.18836964
Cardano;60d;-30.51671193
Cardano;90d;-9.18635573
Dogecoin;1h;-1.82496997
Dogecoin;24h;1.35285598
Dogecoin;7d;0.41717143
Dogecoin;30d;-32.04391923
Dogecoin;60d;-53.90922912
Dogecoin;90d;-39.92372187
TRON;1h;-0.14174269
TRON;24h;-0.65387342
TRON;7d;1.98037519
TRON;30d;-4.33132605
TRON;60d;-1.63788545
TRON;90d;-1.30895471
Chainlink;1h;-1.53929045
Chainlink;24h;1.85977705
Chainlink;7d;8.27250476
Chainlink;30d;-20.45232363
Chainlink;60d;-36.89288338
Chainlink;90d;-30.59107713
UNUS SED LEO;1h;-0.05399723
UNUS SED LEO;24h;0.14239458
UNUS SED LEO;7d;0.92190043
UNUS SED LEO;30d;0.72528222
UNUS SED LEO;60d;2.71384321
UNUS SED LEO;90d;8.46419428
Toncoin;1h;-1.5623318
Toncoin;24h;0.47283001
Toncoin;7d;30.67408012
Toncoin;30d;-1.6390482
Toncoin;60d;-28.92902377
Toncoin;90d;-26.13387061
Stellar;1h;-1.27074675
Stellar;24h;1.33194654
Stellar;7d;2.55081805
Stellar;30d;-12.92901277
Stellar;60d;-38.52358912
Stellar;90d;-14.65449926
Hedera;1h;-1.94486014
Hedera;24h;0.54436256
Hedera;7d;-3.0381379
Hedera;30d;-6.86463641
Hedera;60d;-43.68927723
Hedera;90d;-23.4885989
Pi;1h;-0.62970773
Pi;24h;2.63375434
Pi;7d;-31.85806008
